,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Date
63,58,Dominican Republic,258637,598,3397,5,217008,38232,148,23656,311,1352703,123724,10933195,North America,42,3218,8,2021-04-20
64,59,Kuwait,250273,1544,1419,7,233757,15097,235,57934,328,2178279,504232,4319992,Asia,17,3044,2,2021-04-20
65,60,Moldova,242364,544,5438,29,225036,11890,293,60191,1351,909884,225969,4026580,Europe,17,740,4,2021-04-20
66,61,Ireland,241684,354,4803,18,221938,14943,46,48521,964,4209763,845163,4981009,Europe,21,1037,1,2021-04-20
67,62,Paraguay,240141,2599,4978,89,196718,38445,485,33348,691,988044,137206,7201165,South America,30,1447,7,2021-04-20
68,63,Denmark,238869,563,2446,3,228007,8416,39,41126,421,29940622,5154860,5808232,Europe,24,2375,0,2021-04-20
69,64,Ethiopia,232512,1568,3230,22,173818,55464,967,1984,28,2460888,21000,117182537,Africa,504,36279,48,2021-04-20
70,65,Lithuania,227976,1175,3714,13,207391,16871,150,84678,1380,2516597,934749,2692270,Europe,12,725,1,2021-04-20
71,66,Slovenia,227843,1056,4130,4,209919,13794,146,109584,1986,1109932,533836,2079163,Europe,9,503,2,2021-04-20
72,67,Costa Rica,225343,2799,3044,26,196060,26239,221,43921,593,842015,164116,5130600,North America,23,1685,6,2021-04-20
73,68,Egypt,212130,823,12526,39,160431,39173,90,2043,121,2677262,25782,103842186,Africa,490,8290,39,2021-04-20
74,69,Guatemala,205322,2013,7057,37,187052,11213,5,11297,388,1118361,61535,18174497,North America,89,2575,16,2021-04-20
75,70,Armenia,204053,726,3775,22,183660,16618,0,68760,1272,909604,306512,2967598,Asia,15,786,3,2021-04-20
76,71,Honduras,196086,306,4861,57,75952,115273,536,19554,485,542768,54126,10027818,North America,51,2063,18,2021-04-20
77,72,Qatar,191979,981,340,5,170787,20852,479,68373,121,1814379,646191,2807805,Asia,15,8258,2,2021-04-20
78,73,Bosnia and Herzegovina,185664,966,7566,79,142654,35444,0,56870,2317,846536,259297,3264729,Europe,18,432,4,2021-04-20
79,74,Venezuela,176972,1160,1815,20,159547,15610,237,6237,64,3359014,118390,28372485,South America,160,15632,8,2021-04-20
80,75,Oman,174364,1335,1798,9,154771,17795,250,33481,345,1550000,297631,5207798,Asia,30,2896,3,2021-04-20
81,76,Libya,169504,828,2830,2,154220,12454,0,24409,408,919189,132363,6944442,Africa,41,2454,8,2021-04-20
82,77,Nigeria,163911,74,2061,0,154225,7625,11,780,10,1838174,8748,210120737,Africa,1282,101951,114,2021-04-20
83,78,Bahrain,158789,1060,566,4,147162,11061,84,90868,324,3815826,2183639,1747462,Asia,11,3087,0,2021-04-20
84,79,Uruguay,149430,2257,1595,62,116533,31302,486,42900,458,1561178,448203,3483191,South America,23,2184,2,2021-04-20
85,80,Kenya,147147,991,2394,26,99580,45173,239,2690,44,1571244,28727,54695314,Africa,372,22847,35,2021-04-20
86,81,North Macedonia,143162,1128,4289,27,118946,19927,124,68719,2059,674378,323706,2083307,Europe,15,486,3,2021-04-20
87,82,Myanmar,142596,0,3206,0,131869,7521,0,2607,59,2555312,46718,54696124,Asia,384,17061,21,2021-04-20
88,83,Albania,128752,234,2326,5,98903,27523,18,44778,809,590174,205255,2875324,Europe,22,1236,5,2021-04-20
89,84,Algeria,118799,154,3137,3,82813,32849,19,2671,71,230861,5191,44469823,Africa,374,14176,193,2021-04-20
90,85,Estonia,115080,638,1049,12,96844,17187,72,86706,790,1204118,907237,1327237,Europe,12,1265,1,2021-04-20
91,86,S. Korea,110688,542,1775,5,101332,7581,101,2157,35,8200519,159842,51303892,Asia,464,28904,6,2021-04-20
92,87,Latvia,108355,537,2002,12,99840,6513,94,57952,1071,2049958,1096391,1869732,Europe,17,934,1,2021-04-20
93,88,Norway,105008,1009,688,1,88952,15368,57,19252,126,4896385,897678,5454503,Europe,52,7928,1,2021-04-20
94,89,Sri Lanka,95620,226,602,4,91926,3092,0,4451,28,2374627,110531,21483791,Asia,225,35687,9,2021-04-20
95,90,Montenegro,94643,224,1391,10,89235,4017,69,150674,2215,354624,564572,628129,Europe,7,452,2,2021-04-20
96,91,Ghana,91410,75,761,7,89219,1430,10,2895,24,1032144,32684,31579196,Africa,345,41497,31,2021-04-20
97,92,Kyrgyzstan,90599,227,1532,4,86152,2915,25,13710,232,908302,137447,6608364,Asia,73,4314,7,2021-04-20
98,93,China,90435,9,4636,0,85506,293,4,63,3,160000000,111163,1439323776,Asia,15916,310467,9,2021-04-20
99,94,Zambia,90218,154,1229,2,88144,845,56,4803,65,1314850,69996,18784579,Africa,208,15284,14,2021-04-20
100,95,Cuba,88445,1060,476,9,83087,4882,61,7812,42,3256543,287651,11321175,North America,128,23784,3,2021-04-20
101,96,Uzbekistan,85291,177,634,0,83089,1568,23,2520,19,1377915,40708,33848811,Asia,397,53389,25,2021-04-20
102,97,Finland,82564,286,877,3,46000,35687,38,14883,158,4182779,753995,5547489,Europe,67,6326,1,2021-04-20
103,98,Mozambique,68871,79,794,3,59901,8176,68,2156,25,498247,15601,31936814,Africa,464,40223,64,2021-04-20
104,99,El Salvador,66657,168,2054,0,63072,1531,60,10236,315,873873,134196,6511911,North America,98,3170,7,2021-04-20
105,100,Luxembourg,64062,182,777,5,60012,3273,30,101053,1226,2520656,3976162,633942,Europe,10,816,0,2021-04-20
106,101,Cameroon,61731,0,919,0,56926,3886,385,2281,34,1257949,46486,27060733,Africa,438,29446,22,2021-04-20
107,102,Singapore,60692,14,30,0,60374,288,1,10310,5,9036706,1535172,5886444,Asia,97,196215,1,2021-04-20
108,0,Oceania,60172,246,1153,1,34700,24319,5,0,0,0,0,0,Australia/Oceania,0,0,0,2021-04-20
109,103,Afghanistan,57492,128,2532,3,52013,2947,1124,1451,64,374076,9443,39612153,Asia,689,15645,106,2021-04-20
110,104,Cyprus,52652,619,274,1,39061,13317,63,43361,226,4052674,3337575,1214257,Asia,23,4432,0,2021-04-20
111,105,Namibia,45949,162,586,11,43984,1379,32,17831,227,365079,141676,2576863,Africa,56,4397,7,2021-04-20
112,106,Ivory Coast,45265,38,269,1,44771,225,0,1684,10,557294,20727,26887262,Africa,594,99953,48,2021-04-20
113,107,Botswana,43444,0,663,0,38923,3858,1,18187,278,958802,401391,2388698,Africa,55,3603,2,2021-04-20
114,108,Jamaica,42924,161,682,6,19136,23106,37,14446,230,307193,103386,2971321,North America,69,4357,10,2021-04-20
115,109,Uganda,41204,30,337,0,40779,88,24,879,7,971265,20725,46863292,Africa,1137,139060,48,2021-04-20
116,110,Senegal,39495,30,1081,2,38241,173,14,2311,63,456487,26715,17087514,Africa,433,15807,37,2021-04-20
117,111,Zimbabwe,37330,23,1543,1,34932,855,12,2483,103,394257,26227,15032245,Africa,403,9742,38,2021-04-20
118,112,Thailand,34575,965,97,0,28288,6190,1,494,1,8124896,116173,69937672,Asia,2023,721007,9,2021-04-20
119,113,Malawi,33872,13,1133,1,31572,1167,19,1736,58,224959,11528,19514960,Africa,576,17224,87,2021-04-20
120,114,Sudan,31700,1589,2194,131,25451,4055,0,710,49,232965,5218,44647518,Africa,1408,20350,192,2021-04-20
121,115,Malta,29720,59,403,1,28756,561,0,67169,911,836521,1890584,442467,Europe,15,1098,1,2021-04-20
122,116,Australia,29437,18,910,1,26361,2166,0,1144,35,16161532,628079,25731698,Australia/Oceania,874,28277,2,2021-04-20
123,117,Madagascar,28765,224,512,6,24410,3843,246,1018,18,156363,5536,28245501,Africa,982,55167,181,2021-04-20
124,118,DRC,28665,54,745,0,25841,2079,0,313,8,143197,1562,91677905,Africa,3198,123058,640,2021-04-20
125,119,Maldives,25759,58,67,0,22981,2711,82,47007,122,673528,1229099,547985,Asia,21,8179,1,2021-04-20
126,120,Angola,23697,148,554,0,22115,1028,15,704,16,443086,13163,33660723,Africa,1420,60759,76,2021-04-20
127,121,Rwanda,23603,68,316,0,21395,1892,6,1788,24,1230808,93226,13202399,Africa,559,41780,11,2021-04-20
128,122,Guinea,21106,74,136,0,18686,2284,24,1574,10,416078,31027,13410087,Africa,635,98604,32,2021-04-20
129,123,Gabon,20971,0,129,0,17762,3080,20,9252,57,669004,295147,2266678,Africa,108,17571,3,2021-04-20
130,124,Syria,20435,104,1392,7,14230,4813,0,1146,78,103566,5808,17831997,Asia,873,12810,172,2021-04-20
131,125,Mayotte,19706,0,167,0,2964,16575,8,70899,601,165683,596098,277946,Africa,14,1664,2,2021-04-20
132,126,Cabo Verde,19231,121,187,3,17487,1557,23,34297,333,136977,244288,560720,Africa,29,2999,4,2021-04-20
133,127,French Polynesia,18678,12,141,0,4842,13695,2,66191,500,26355,93397,282183,Australia/Oceania,15,2001,11,2021-04-20
134,128,Réunion,18425,917,135,12,16794,1496,54,20465,150,100098,111180,900327,Africa,49,6669,9,2021-04-20
135,129,Eswatini,18402,9,669,0,17682,51,3,15734,572,174638,149317,1169580,Africa,64,1748,7,2021-04-20
136,130,Mauritania,18052,17,451,1,17398,203,14,3805,95,217078,45750,4744829,Africa,263,10521,22,2021-04-20
137,131,French Guiana,17806,100,95,1,9995,7716,9,58436,312,172132,564901,304712,South America,17,3207,2,2021-04-20
138,132,Mongolia,16603,885,27,2,9887,6689,88,5002,8,2492932,750979,3319578,Asia,200,122947,1,2021-04-20
139,133,Tajikistan,13308,0,90,0,13218,0,0,1371,9,0,0,9704736,Asia,729,107830,0,2021-04-20
140,134,Burkina Faso,12989,0,153,0,12627,209,0,608,7,175352,8213,21349397,Africa,1644,139539,122,2021-04-20
141,135,Haiti,12855,0,251,0,11513,1091,0,1117,22,60085,5220,11511413,North America,895,45862,192,2021-04-20
142,136,Guadeloupe,12717,577,176,2,2242,10299,13,31778,440,164128,410137,400178,North America,31,2274,2,2021-04-20
143,137,Andorra,12614,33,121,0,11932,561,29,163052,1564,193595,2502456,77362,Europe,6,639,0,2021-04-20
144,138,Somalia,12566,0,618,0,5270,6678,0,774,38,100631,6197,16238265,Africa,1292,26276,161,2021-04-20
145,139,Belize,12513,10,318,0,12137,58,1,31029,789,107277,266018,403269,North America,32,1268,4,2021-04-20
146,140,Mali,12179,177,417,3,7194,4568,0,588,20,243860,11778,20704544,Africa,1700,49651,85,2021-04-20
147,141,Togo,12125,91,117,1,9464,2544,0,1438,14,293694,34839,8430002,Africa,695,72051,29,2021-04-20
148,142,Hong Kong,11608,13,208,1,11227,173,7,1539,28,11193673,1483647,7544701,Asia,650,36273,1,2021-04-20
149,143,Curaçao,11430,45,74,6,7189,4167,22,69433,450,85774,521042,164620,North America,14,2225,2,2021-04-20
150,144,Guyana,11277,88,258,1,9796,1223,15,14283,327,101263,128257,789533,South America,70,3060,8,2021-04-20
151,145,Lesotho,10709,0,315,0,5028,5366,0,4968,146,71629,33230,2155574,Africa,201,6843,30,2021-04-20
152,146,South Sudan,10387,6,114,0,10148,125,0,919,10,140302,12420,11296545,Africa,1088,99093,81,2021-04-20
153,147,Aruba,10122,46,92,0,9515,515,14,94490,859,137229,1281053,107122,North America,11,1164,1,2021-04-20
154,148,Congo,10084,0,137,0,8208,1739,0,1793,24,92500,16448,5623929,Africa,558,41051,61,2021-04-20
155,149,Djibouti,10077,102,102,2,8394,1581,0,10085,102,141406,141513,999244,Africa,99,9797,7,2021-04-20
156,150,Martinique,9890,862,64,7,98,9728,24,26371,171,140946,375820,375036,North America,38,5860,3,2021-04-20
157,151,Bahamas,9505,45,190,0,8965,350,3,23991,480,80704,203700,396190,North America,42,2085,5,2021-04-20
158,152,Suriname,9363,47,184,2,8711,468,9,15849,311,46424,78584,590755,South America,63,3211,13,2021-04-20
159,153,Papua New Guinea,8814,212,69,0,846,7899,0,971,8,70260,7738,9079415,Australia/Oceania,1030,131586,129,2021-04-20
160,154,Trinidad and Tobago,8511,70,146,0,7799,566,14,6066,104,118247,84279,1403050,North America,165,9610,12,2021-04-20
161,155,Benin,7515,0,93,0,6452,970,35,607,8,548484,44338,12370480,Africa,1646,133016,23,2021-04-20
162,156,Equatorial Guinea,7219,0,106,0,6799,314,11,5017,74,115364,80182,1438775,Africa,199,13573,12,2021-04-20
163,157,Nicaragua,6778,51,180,1,4225,2373,0,1014,27,0,0,6686300,North America,986,37146,0,2021-04-20
164,158,Iceland,6274,7,29,0,6152,93,0,18293,85,564307,1645296,342982,Europe,55,11827,1,2021-04-20
165,159,CAR,5682,74,75,0,5112,495,2,1161,15,40907,8356,4895406,Africa,862,65272,120,2021-04-20
166,160,Gambia,5602,0,168,0,5145,289,3,2268,68,59297,24012,2469496,Africa,441,14699,42,2021-04-20
167,161,Yemen,5507,61,1073,5,2070,2364,23,182,35,22934,756,30338432,Asia,5509,28274,1323,2021-04-20
168,162,Niger,5081,0,189,0,4760,132,1,204,8,93751,3767,24886024,Africa,4898,131672,265,2021-04-20
169,163,San Marino,4986,21,86,0,4568,332,8,146703,2530,56871,1673316,33987,Europe,7,395,1,2021-04-20
170,164,Cambodia,4696,181,33,3,2252,2411,0,278,2,782811,46320,16900093,Asia,3599,512124,22,2021-04-20
171,165,Chad,4652,11,167,0,4306,179,0,277,10,110863,6602,16792515,Africa,3610,100554,151,2021-04-20
172,166,Seychelles,4633,189,25,0,4310,298,0,46881,253,21504,217597,98825,Africa,21,3953,5,2021-04-20
173,167,Saint Lucia,4355,0,64,0,4179,112,1,23632,347,37758,204888,184286,North America,42,2879,5,2021-04-20
174,168,Gibraltar,4277,0,94,0,4181,2,0,126978,2791,219808,6525785,33683,Europe,8,358,0,2021-04-20
175,169,Channel Islands,4053,2,86,0,3956,11,1,23144,491,399901,2283583,175120,Europe,43,2036,0,2021-04-20
176,170,Sierra Leone,4009,1,79,0,2832,1098,0,495,10,118332,14602,8103627,Africa,2021,102578,68,2021-04-20
177,171,Comoros,3796,7,146,0,3582,68,0,4294,165,0,0,884057,Africa,233,6055,0,2021-04-20
178,172,Barbados,3740,6,44,0,3623,73,0,13002,153,146575,509557,287652,North America,77,6538,2,2021-04-20
179,173,Guinea-Bissau,3693,13,66,0,3083,544,9,1843,33,60565,30218,2004263,Africa,543,30368,33,2021-04-20
180,174,Eritrea,3469,3,10,0,3231,228,0,968,3,23693,6609,3584844,Africa,1033,358484,151,2021-04-20
181,175,Burundi,3262,108,6,0,773,2483,0,268,0.5,90019,7399,12166138,Africa,3730,2027690,135,2021-04-20
182,176,Liechtenstein,2768,14,56,0,2634,78,5,72434,1465,32252,843984,38214,Europe,14,682,1,2021-04-20
183,177,Vietnam,2714,9,35,0,2445,234,0,28,0.4,2598753,26511,98025481,Asia,36118,2800728,38,2021-04-20
184,178,New Zealand,2587,4,26,0,2459,102,0,517,5,1948223,389481,5002100,Australia/Oceania,1934,192388,3,2021-04-20
185,179,Monaco,2378,1,31,0,2260,87,6,60264,786,51953,1316599,39460,Europe,17,1273,1,2021-04-20
186,180,Turks and Caicos,2360,3,17,0,2285,58,2,60316,434,41426,1058757,39127,North America,17,2302,1,2021-04-20
187,181,Sao Tome and Principe,2268,1,35,0,2192,41,0,10201,157,12597,56657,222339,Africa,98,6353,18,2021-04-20
188,182,Sint Maarten,2188,3,27,0,2124,37,1,50581,624,25304,584969,43257,North America,20,1602,2,2021-04-20
189,183,Liberia,2042,0,85,0,1899,58,2,396,17,79684,15472,5150360,Africa,2522,60592,65,2021-04-20
190,184,Bermuda,1912,21,16,0,1037,859,41,30791,258,218967,3526209,62097,North America,32,3881,0,2021-04-20
191,185,St. Vincent Grenadines,1806,0,10,0,1665,131,2,16239,90,43985,395488,111217,North America,62,11122,3,2021-04-20
192,186,Saint Martin,1693,0,12,0,1399,282,7,43210,306,26385,673413,39181,North America,23,3265,1,2021-04-20
193,187,Isle of Man,1575,0,29,0,1445,101,0,18446,340,44761,524219,85386,Europe,54,2944,2,2021-04-20
194,188,Caribbean Netherlands,1526,7,14,0,1416,96,0,57772,530,10011,379004,26414,North America,17,1887,3,2021-04-20
195,189,Antigua and Barbuda,1201,3,31,1,947,223,45,12185,315,16493,167331,98565,North America,82,3180,6,2021-04-20
196,190,Mauritius,1198,5,15,0,797,386,0,941,12,358675,281661,1273428,Africa,1063,84895,4,2021-04-20
197,191,Timor-Leste,1086,40,2,1,550,534,0,812,1,50556,37783,1338060,Asia,1232,669030,26,2021-04-20
198,192,Taiwan,1062,4,11,0,1027,24,0,45,0.5,513203,21517,23850673,Asia,22458,2168243,46,2021-04-20
199,193,Bhutan,927,6,1,0,875,51,0,1191,1,652722,838686,778267,Asia,840,778267,1,2021-04-20
200,194,St. Barth,907,0,1,0,462,444,0,91607,101,26385,2664882,9901,North America,11,9901,0,2021-04-20
201,0,0,721,0,15,0,706,0,0,0,0,0,0,0,0,0,0,0,2021-04-20
202,195,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0, ,0,0,0,0,2021-04-20
203,196,Faeroe Islands,661,0,1,0,660,0,0,13487,20,247430,5048665,49009,Europe,74,49009,0,2021-04-20
204,197,Cayman Islands,523,7,2,0,498,23,0,7885,30,85460,1288465,66327,North America,127,33164,1,2021-04-20
205,198,Tanzania,509,0,21,0,183,305,7,8,0.3,0,0,61057874,Africa,119957,2907518,0,2021-04-20
206,199,Wallis and Futuna,437,0,5,0,44,388,3,39430,451,1331,120094,11083,Australia/Oceania,25,2217,8,2021-04-20
207,200,Brunei ,219,0,3,0,206,10,0,497,7,116596,264532,440764,Asia,2013,146921,4,2021-04-20
208,201,British Virgin Islands,178,0,1,0,159,18,0,5857,33,13223,435125,30389,North America,171,30389,2,2021-04-20
209,202,Dominica,165,0, ,0,159,6,0,2288,0,13500,187170,72127,North America,437,0,5,2021-04-20
210,203,Grenada,155,0,1,0,152,2,0,1372,9,23989,212418,112933,North America,729,112933,5,2021-04-20
211,204,New Caledonia,121,0, ,0,58,63,0,421,0,29182,101450,287650,Australia/Oceania,2377,0,10,2021-04-20
212,205,Fiji,68,0,2,0,64,2,0,75,2,40300,44701,901543,Australia/Oceania,13258,450772,22,2021-04-20
213,206,Falkland Islands,60,0, ,0,54,6,0,16859,0,7165,2013206,3559,South America,59,0,0,2021-04-20
214,207,Laos,52,0, ,0,49,3,0,7,0,143481,19500,7358183,Asia,141504,0,51,2021-04-20
215,208,Macao,49,0, ,0,48,1,0,75,0,4418,6732,656265,Asia,13393,0,149,2021-04-20
216,209,Saint Kitts and Nevis,44,0, ,0,44,0,0,823,0,12381,231447,53494,North America,1216,0,4,2021-04-20
217,210,Greenland,31,0, ,0,31,0,0,545,0,20669,363590,56847,North America,1834,0,3,2021-04-20
218,211,Vatican City,27,0, ,0,15,12,0,33624,0,0,0,803,Europe,30,0,0,2021-04-20
219,212,Anguilla,25,0, ,0,22,3,0,1655,0,14579,964985,15108,North America,604,0,1,2021-04-20
220,213,Saint Pierre Miquelon,24,0, ,0,24,0,0,4158,0,5126,888080,5772,North America,241,0,1,2021-04-20
221,214,Montserrat,20,0,1,0,19,0,0,4005,200,1313,262915,4994,North America,250,4994,4,2021-04-20
222,215,Solomon Islands,19,0, ,0,18,1,0,27,0,4500,6428,700011,Australia/Oceania,36843,0,156,2021-04-20
223,216,Western Sahara,10,0,1,0,8,1,0,16,2,0,0,608784,Africa,60878,608784,0,2021-04-20
224,217,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0, ,0,0,0,0,2021-04-20
225,218,Marshall Islands,4,0, ,0,4,0,0,67,0,0,0,59504,Australia/Oceania,14876,0,0,2021-04-20
226,219,Samoa,3,0, ,0,2,1,0,15,0,0,0,199449,Australia/Oceania,66483,0,0,2021-04-20
227,220,Vanuatu,3,0, ,0,1,2,0,10,0,470,1503,312741,Australia/Oceania,104247,0,665,2021-04-20
228,221,Micronesia,1,0, ,0,1,0,0,9,0,0,0,115968,Australia/Oceania,115968,0,0,2021-04-20
